"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"A13","Monohull","Offshore cruiser-racer sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester): Sandwich  fiberglass vinylester (vacuum infusion)","2014","2017","Keel : fin without bulb","Single tiller (helm wheel in option)","Twin spade rudders","No","No","A","About 326 000 € (2017)","43’13.1 m","13’ 7”4.15 m","8’ 6”2.6 m","14220 lb6450 kg","1093 ft²101.5 m²","2551 ft²237 m²","614 ft²57 m²","479 ft²44.5 m²","1938 ft²180 m²","Sloop Marconi masthead","Keel stepped mast","No","2","Swept-back","Carbon fiber spars","315 ft²/T29.29 m²/T","736 ft²/T68.4 m²/T","1 inboard engine","30 HP","Diesel","Open aft cockpit","2  / 3","4  / 8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A27","Monohull","Cruiser-racer sailboat","Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester (vacuum infusion) - Deck: Sandwich PVC fiberglass polyester (vacuum infusion)","2012","Discontinued","Keel : fin with bulb","Single tiller","Single spade rudder","No","No","B","N/A €","27’ 5”8.35 m","9’ 10”2.98 m","5’ 8”1.75 m","4740 lb2150 kg","447 ft²41.5 m²","1044 ft²97 m²","258 ft²24 m²","188 ft²17.5 m²","786 ft²73 m²","Sloop Marconi fractional","Deck stepped mast","No","2","Swept-back","Aluminum spars","268 ft²/T24.91 m²/T","627 ft²/T58.23 m²/T","1 outboard or inboard engine","13 HP","Gas","Open aft cockpit","","","1","Fin keel","25’7.61 m","1825 lb828 kg","Cast iron","786 ft²73 m²","35’ 5”10.79 m","10’ 10”3.3 m","35’ 10”10.9 m","12’ 7”3.85 m","23.0","138","39 %","6.70 knots","7.9 gal30 liters","4","13.2 gal50 liters","5’ 2”1.6 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A27","Monohull","Cruiser-racer sailboat","Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester (vacuum infusion) - Deck: Sandwich PVC fiberglass polyester (vacuum infusion)","2012","Discontinued","Lifting keel : swing keel","Single tiller","Twin spade rudders","No","No","B","N/A €","27’ 5”8.35 m","9’ 10”2.98 m","6’ 11”2.1 m","4740 lb2150 kg","447 ft²41.5 m²","1044 ft²97 m²","258 ft²24 m²","188 ft²17.5 m²","786 ft²73 m²","Sloop Marconi fractional","Deck stepped mast","No","2","Swept-back","Aluminum spars","268 ft²/T24.91 m²/T","627 ft²/T58.23 m²/T","1 outboard or inboard engine","13 HP","Gas","Open aft cockpit","","","1","Swing keel","25’7.61 m","1825 lb828 kg","Cast iron","786 ft²73 m²","35’ 5”10.79 m","10’ 10”3.3 m","35’ 10”10.9 m","12’ 7”3.85 m","23.0","138","39 %","6.70 knots","7.9 gal30 liters","4","13.2 gal50 liters","5’ 2”1.6 m","3’ 1”0.95 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A27","Monohull","Cruiser-racer sailboat","Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester (vacuum infusion) - Deck: Sandwich PVC fiberglass polyester (vacuum infusion)","2012","Discontinued","Twin keel : twin asymmetric fin with bulb","Single tiller","Single spade rudder","No","No","B","N/A €","27’ 5”8.35 m","9’ 10”2.98 m","3’ 10”1.15 m","4740 lb2150 kg","447 ft²41.5 m²","1044 ft²97 m²","258 ft²24 m²","188 ft²17.5 m²","786 ft²73 m²","Sloop Marconi fractional","Deck stepped mast","No","2","Swept-back","Aluminum spars","268 ft²/T24.91 m²/T","627 ft²/T58.23 m²/T","1 outboard or inboard engine","13 HP","Gas","Open aft cockpit","","","1","Twin keel","25’7.61 m","1825 lb828 kg","Cast iron","786 ft²73 m²","35’ 5”10.79 m","10’ 10”3.3 m","35’ 10”10.9 m","12’ 7”3.85 m","23.0","138","39 %","6.70 knots","7.9 gal30 liters","4","13.2 gal50 liters","5’ 2”1.6 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A31","Monohull","Cruiser-racer sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester (vacuum infusion) - Deck: Sandwich PVC fiberglass polyester (injection molding process)","2009","2017","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","A","About 103 000 € (2017)","31’ 4”9.55 m","10’ 7”3.23 m","6’ 2”1.9 m","6945 lb3150 kg","554 ft²51.5 m²","","307 ft²28.5 m²","248 ft²23 m²","","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Aluminum spars","258 ft²/T23.97 m²/T","","1 inboard engine","14 HP","Diesel","Open aft cockpit","","4  / 6","1","","","2976 lb1350 kg","Lead","","39’ 8”12.11 m","12’3.67 m","39’ 7”12.08 m","13’ 4”4.06 m","26.0","","43 %","","10.6 gal40 liters","","26.4 gal100 liters","5’ 7”1.7 m","","31’ 4”9.55 m","2","10.6 gal40 liters","5’ 7”1.7 m","6’ 4”1.93 m","4’ 10”1.45 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A35","Monohull","Racer-cruiser sailboat","Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2006","2013","Keel : fin without bulb","Single tiller (helm wheel in option)","Single spade rudder","No","No","A","N/A €","34’ 8”10.59 m","11’ 7”3.55 m","6’ 11”2.1 m","10141 lb4600 kg","727 ft²67.5 m²","1432 ft²133 m²","409 ft²38 m²","318 ft²29.5 m²","1023 ft²95 m²","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Aluminum spars (carbon fiber spars as an option)","263 ft²/T24.4 m²/T","518 ft²/T48.09 m²/T","1 inboard engine","","Diesel","Open aft cockpit","2  / 3","4  / 7","1","","30’ 2”9.22 m","4189 lb1900 kg","Lead","883 ft²82 m²","44’ 6”13.55 m","13’ 6”4.1 m","45’13.73 m","15’ 8”4.79 m","","166","41 %","7.37 knots","13.2 gal50 liters","","26.4 gal100 liters","6’ 1”1.85 m","","","","","6’ 1”1.85 m","6’ 7”2 m","","64’19.5 m","1x19 strand wire","18 HP / 21 HP","6’1.84 m","3’ 4”1 m","1’0.3 m / 3’0.9 m","2’ 7”0.78 m x 2’ 1”0.63 m","4’ 8”1.42 m / 4’ 6”1.38 m / 4’ 1”1.24 m / 3’ 11”1.19 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A35 R","Monohull","Racer-cruiser sailboat","BG Race & Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Sandwich  fiberglass polyester  - Deck: Sandwich PVC fiberglass vinylester","2014","2017","Keel : fin without bulb","Single tiller (helm wheel in option)","Single spade rudder (twin as option)","No","No","A","About 138 000 € (2017)","34’ 8”10.59 m","11’ 7”3.55 m","7’ 2”2.2 m","9811 lb4450 kg","727 ft²67.5 m²","1432 ft²133 m²","409 ft²38 m²","318 ft²29.5 m²","1023 ft²95 m²","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Carbon fiber spars","269 ft²/T24.95 m²/T","529 ft²/T49.16 m²/T","1 inboard engine","21 HP","Diesel","Open aft cockpit","2  / 3","4  / 7","1","","30’ 2”9.22 m","4630 lb2100 kg","Lead","883 ft²82 m²","44’ 6”13.55 m","13’ 6”4.1 m","45’13.73 m","15’ 8”4.79 m","","161","47 %","7.37 knots","7.9 gal30 liters","","26.4 gal100 liters","6’ 1”1.85 m","","36’ 4”11.05 m","","","6’ 1”1.85 m","6’ 7”2 m","","","","","6’1.84 m","3’ 4”1 m","1’0.3 m / 3’0.9 m","2’ 7”0.78 m x 2’ 1”0.63 m","4’ 8”1.42 m / 4’ 6”1.38 m / 4’ 1”1.24 m / 3’ 11”1.19 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"A40 RC","Monohull","Racer-cruiser sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Sandwich PVC fiberglass polyester (vacuum infusion) - Deck: Sandwich PVC fiberglass polyester","2003","2017","Keel : fin without bulb","Twin helm wheels","Single spade rudder","No","No","A","About 205 000 € (2017)","39’ 2”11.95 m","12’ 4”3.75 m","8’ 1”2.47 m","14330 lb6500 kg","980 ft²91 m²","1991 ft²185 m²","549 ft²51 m²","431 ft²40 m²","","Sloop Marconi 9/10","Keel stepped mast","No","2","20 °","Aluminum spars (carbon fiber spars as an option)","281 ft²/T26.13 m²/T","572 ft²/T53.12 m²/T","1 inboard engine","29 HP","Diesel","Open aft cockpit","2  / 3","4  / 8","1","","34’ 7”10.54 m","7716 lb3500 kg","Lead","1442 ft²134 m²","53’ 6”16.3 m","15’ 5”4.7 m","51’ 2”15.6 m","17’ 8”5.41 m","","157","54 %","7.88 knots","19.8 gal75 liters","","26.4 gal100 liters","5’ 11”1.8 m","","39’ 4”11.99 m","","19.8 gal75 liters","5’ 11”1.8 m","","","","Dyform","","","","","","","13.47 Tx","13.2 gal50 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin 107 Stratus","Monohull","Cruiser-racer sailboat","Albin Marine","Peter Norlin","Sweden","Hull and deck: GRP (glass reinforced polyester)","1980","1984","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","35’ 2”10.72 m","10’ 10”3.3 m","5’ 11”1.8 m","11464 lb5200 kg","700 ft²65 m²","1270 ft²118 m²","301 ft²28 m²","398 ft²37 m²","","Sloop Marconi 7/8","Deck stepped mast","No","1","0 °","Aluminum spars","233 ft²/T21.66 m²/T","423 ft²/T39.31 m²/T","1 inboard engine","22 HP","Diesel","Closed aft cockpit","","5  / 7","1","","27’ 2”8.3 m","4960 lb2250 kg","Lead","969 ft²90 m²","41’ 4”12.6 m","12’ 10”3.9 m","42’ 8”13 m","14’ 1”4.3 m","","258","43 %","6.99 knots","60.8 gal230 liters","","118.9 gal450 liters","","","","2","","","","","","1x19 strand wire continuous","","","","","","","","","3/4 Ton class","130","205 ft²19 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin 57","Monohull","Coastal cruising sailboat","Albin Marine","Rolf Magnusson","Sweden","Hull and deck: GRP (glass reinforced polyester)","1977","1981","Lifting keel : swing keel","Single tiller","Single transom hung rudder","No","Yes","","N/A €","18’ 10”5.74 m","7’ 11”2.41 m","4’ 4”1.3 m","1764 lb800 kg","167 ft²15.5 m²","366 ft²34 m²","97 ft²9 m²","","","Sloop Marconi 7/8","Deck stepped mast","No","1","Swept-back","Aluminum spars","194 ft²/T17.99 m²/T","425 ft²/T39.45 m²/T","1 outboard engine","","","Closed aft cockpit","","","","","16’ 5”5 m","562 lb255 kg","","269 ft²25 m²","","","","","","181","32 %","5.43 knots","","4","","","2’0.6 m","","","","","","","","1x19 strand wire continuous","","","","","","","","","","About 400","70 ft²6.5 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
